
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
------------------------------------------------------------------------------------------------------
   1 |      636 | Navigations_headed_xml/Parsed_texts/A08163_parsed_text.txt   |    11594 |   1.000000
   2 |      448 | Navigations_headed_xml/Parsed_texts/A53234_parsed_text.txt   |    96208 |   1.000000
   3 |      541 | Navigations_headed_xml/Parsed_texts/A53241_parsed_text.txt   |   114777 |   1.000000
   4 |       91 | Navigations_headed_xml/Parsed_texts/A43412_parsed_text.txt   |    73355 |   1.000000
   5 |      479 | Navigations_headed_xml/Parsed_texts/A36049_parsed_text.txt   |   161732 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | mansfield       |   0.003194
   2 | bohemia         |   0.003008
   3 | furlongs        |   0.002700
   4 | palatinate      |   0.002634
   5 | brunswicke      |   0.002621

######## Topic 1 ########
Documents: 169 (22.87%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      120 | Navigations_headed_xml/Parsed_texts/A21083_parsed_text.txt   |    11034 |   1.000000
   2 |      383 | Navigations_headed_xml/Parsed_texts/A09512_parsed_text.txt   |    11408 |   1.000000
   3 |      657 | Navigations_headed_xml/Parsed_texts/A04690_parsed_text.txt   |    21152 |   1.000000
   4 |      451 | Navigations_headed_xml/Parsed_texts/A01177_parsed_text.txt   |    11800 |   1.000000
   5 |      366 | Navigations_headed_xml/Parsed_texts/A07254_parsed_text.txt   |    38881 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | haue            |   0.005647
   2 | vs              |   0.003460
   3 | hee             |   0.003136
   4 | vnto            |   0.003116
   5 | vpon            |   0.002977

######## Topic 2 ########
Documents: 144 (19.49%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |       60 | Navigations_headed_xml/Parsed_texts/A28304_parsed_text.txt   |    35120 |   0.999510
   2 |      429 | Navigations_headed_xml/Parsed_texts/A40383_parsed_text.txt   |    45586 |   0.998320
   3 |      703 | Navigations_headed_xml/Parsed_texts/A48869_parsed_text.txt   |    89757 |   0.997174
   4 |      257 | Navigations_headed_xml/Parsed_texts/A35242_parsed_text.txt   |    83020 |   0.994817
   5 |       61 | Navigations_headed_xml/Parsed_texts/A48344_parsed_text.txt   |   273482 |   0.993878

Rank | Word            |      Value
-----------------------------------
   1 | have            |   0.003034
   2 | upon            |   0.001689
   3 | river           |   0.001478
   4 | us              |   0.001465
   5 | its             |   0.001315

######## Topic 3 ########
Documents: 111 (15.02%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      354 | Navigations_headed_xml/Parsed_texts/A42530_parsed_text.txt   |    14581 |   1.000000
   2 |      110 | Navigations_headed_xml/Parsed_texts/A31533_parsed_text.txt   |    63519 |   1.000000
   3 |      686 | Navigations_headed_xml/Parsed_texts/A29477_parsed_text.txt   |    11490 |   1.000000
   4 |      379 | Navigations_headed_xml/Parsed_texts/A56484_parsed_text.txt   |     7877 |   1.000000
   5 |      723 | Navigations_headed_xml/Parsed_texts/A35757_parsed_text.txt   |    15723 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | have            |   0.002917
   2 | upon            |   0.001954
   3 | her             |   0.001828
   4 | she             |   0.001792
   5 | you             |   0.001481

######## Topic 4 ########
Documents: 80 (10.83%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |       11 | Navigations_headed_xml/Parsed_texts/A33691_parsed_text.txt   |    14225 |   1.000000
   2 |      275 | Navigations_headed_xml/Parsed_texts/A52218_parsed_text.txt   |     7131 |   1.000000
   3 |      577 | Navigations_headed_xml/Parsed_texts/A48164_parsed_text.txt   |    27198 |   1.000000
   4 |       77 | Navigations_headed_xml/Parsed_texts/A31509_parsed_text.txt   |    11571 |   1.000000
   5 |       29 | Navigations_headed_xml/Parsed_texts/A53237_parsed_text.txt   |     3591 |   1.000000

Rank | Word            |      Value
-----------------------------------
   1 | have            |   0.004676
   2 | majesty         |   0.002412
   3 | upon            |   0.002356
   4 | trade           |   0.002334
   5 | subjects        |   0.002086

######## Topic 5 ########
Documents: 56 (7.58%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      664 | Navigations_headed_xml/Parsed_texts/A22536_parsed_text.txt   |     7615 |   1.000000
   2 |       45 | Navigations_headed_xml/Parsed_texts/A22549_parsed_text.txt   |     7751 |   1.000000
   3 |      532 | Navigations_headed_xml/Parsed_texts/A22405_parsed_text.txt   |     6782 |   1.000000
   4 |      410 | Navigations_headed_xml/Parsed_texts/A22298_parsed_text.txt   |     7165 |   1.000000
