
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
  20 | ship            |   0.004002 |      0.40%

######## Topic 13 ########
Documents: 9 (1.22%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | its             |   0.005283 |      0.53%
   2 | mr              |   0.004221 |      0.42%
   3 | description     |   0.004080 |      0.41%
   4 | than            |   0.003784 |      0.38%
   5 | have            |   0.003559 |      0.36%
   6 | siam            |   0.003499 |      0.35%
   7 | nobility        |   0.003159 |      0.32%
   8 | baths           |   0.003075 |      0.31%
   9 | towns           |   0.003029 |      0.30%
  10 | sorts           |   0.002956 |      0.30%
  11 | waters          |   0.002873 |      0.29%
  12 | gentry          |   0.002741 |      0.27%
  13 | diseases        |   0.002732 |      0.27%
  14 | country         |   0.002586 |      0.26%
  15 | arms            |   0.002580 |      0.26%
  16 | plants          |   0.002514 |      0.25%
  17 | town            |   0.002457 |      0.25%
  18 | inhabitants     |   0.002406 |      0.24%
  19 | air             |   0.002404 |      0.24%
  20 | rivers          |   0.002402 |      0.24%

######## Topic 14 ########
Documents: 43 (5.82%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | iland           |   0.009359 |      0.94%
   2 | riuer           |   0.007985 |      0.80%
   3 | haue            |   0.006384 |      0.64%
   4 | verie           |   0.006320 |      0.63%
   5 | vs              |   0.006256 |      0.63%
   6 | towne           |   0.005290 |      0.53%
   7 | foure           |   0.004798 |      0.48%
   8 | ilands          |   0.004745 |      0.47%
   9 | fiue            |   0.004696 |      0.47%
  10 | countrie        |   0.004407 |      0.44%
  11 | yeare           |   0.004255 |      0.43%
  12 | standeth        |   0.004233 |      0.42%
  13 | neere           |   0.004091 |      0.41%
  14 | leagues         |   0.004082 |      0.41%
  15 | sunne           |   0.003868 |      0.39%
  16 | thrée           |   0.003841 |      0.38%
  17 | south           |   0.003753 |      0.38%
  18 | called          |   0.003691 |      0.37%
  19 | riuers          |   0.003653 |      0.37%
  20 | ile             |   0.003647 |      0.36%

######## Topic 15 ########
Documents: 13 (1.76%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | de              |   0.009961 |      1.00%
   2 | monsieur        |   0.008505 |      0.85%
   3 | les             |   0.007903 |      0.79%
   4 | le              |   0.007689 |      0.77%
   5 | qui             |   0.005956 |      0.60%
   6 | maior           |   0.005619 |      0.56%
   7 | la              |   0.005488 |      0.55%
   8 | shillings       |   0.005261 |      0.53%
   9 | street          |   0.004808 |      0.48%
  10 | du              |   0.004703 |      0.47%
  11 | france          |   0.004610 |      0.46%
  12 | paris           |   0.004414 |      0.44%
  13 | thereof         |   0.004306 |      0.43%
  14 | pence           |   0.004162 |      0.42%
  15 | french          |   0.004087 |      0.41%
  16 | roy             |   0.004081 |      0.41%
  17 | lane            |   0.004075 |      0.41%
  18 | il              |   0.004072 |      0.41%
  19 | office          |   0.004036 |      0.40%
  20 | que             |   0.003977 |      0.40%

######## Topic 16 ########
Documents: 22 (2.98%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.020623 |      2.06%
   2 | vnto            |   0.020135 |      2.01%
   3 | citie           |   0.015043 |      1.50%
   4 | wyth            |   0.012547 |      1.25%
   5 | vpon            |   0.011749 |      1.17%
   6 | sonne           |   0.010705 |      1.07%
   7 | cittie          |   0.010488 |      1.05%
   8 | iohn            |   0.008628 |      0.86%
   9 | turkes          |   0.008285 |      0.83%
  10 | themselues      |   0.008175 |      0.82%
  11 | turke           |   0.007361 |      0.74%
  12 | ouer            |   0.007183 |      0.72%
  13 | vp              |   0.006895 |      0.69%
  14 | hauing          |   0.006853 |      0.69%
  15 | yeare           |   0.006284 |      0.63%
  16 | hys             |   0.006122 |      0.61%
  17 | sayd            |   0.005992 |      0.60%
  18 | riuer           |   0.005842 |      0.58%
  19 | vppon           |   0.005804 |      0.58%
  20 | vnder           |   0.005785 |      0.58%

######## Topic 17 ########
Documents: 31 (4.19%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | hym             |   0.033177 |      3.32%
   2 | theyr           |   0.020424 |      2.04%
   3 | grete           |   0.016127 |      1.61%
   4 | whiche          |   0.016039 |      1.60%
   5 | kynge           |   0.015784 |      1.58%
   6 | whan            |   0.015523 |      1.55%
   7 | londe           |   0.013540 |      1.35%
   8 | myles           |   0.013009 |      1.30%
   9 | wyll            |   0.012177 |      1.22%
  10 | tyme            |   0.011453 |      1.15%
  11 | saynt           |   0.009805 |      0.98%
  12 | myght           |   0.009726 |      0.97%
  13 | kyng            |   0.009322 |      0.93%
  14 | lorde           |   0.008585 |      0.86%
  15 | wolde           |   0.008496 |      0.85%
  16 | yf              |   0.008433 |      0.84%
  17 | syr             |   0.008391 |      0.84%
  18 | yere            |   0.008343 |      0.83%
  19 | daye            |   0.007729 |      0.77%
  20 | haue            |   0.007507 |      0.75%

######## Topic 18 ########
Documents: 25 (3.38%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.022008 |      2.20%
   2 | wee             |   0.020095 |      2.01%
   3 | captaine        |   0.012595 |      1.26%
   4 | vs              |   0.011023 |      1.10%
   5 | vpon            |   0.008697 |      0.87%
   6 | newes           |   0.007373 |      0.74%
   7 | beene           |   0.007370 |      0.74%
   8 | bohemia         |   0.006085 |      0.61%
   9 | downe           |   0.006004 |      0.60%
  10 | peeces          |   0.005670 |      0.57%
  11 | boate           |   0.005447 |      0.54%
  12 | themselues      |   0.005446 |      0.54%
  13 | ouer            |   0.005046 |      0.50%
  14 | iune            |   0.004991 |      0.50%
  15 | vp              |   0.004989 |      0.50%
  16 | vnto            |   0.004775 |      0.48%
  17 | againe          |   0.004680 |      0.47%
  18 | foure           |   0.004352 |      0.44%
  19 | hee             |   0.004223 |      0.42%
  20 | iland           |   0.003980 |      0.40%

######## Topic 19 ########
Documents: 37 (5.01%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | county          |   0.011350 |      1.14%
   2 | river           |   0.009041 |      0.90%
   3 | shire           |   0.006971 |      0.70%
   4 | john            |   0.006673 |      0.67%
   5 | earl            |   0.006559 |      0.66%
   6 | town            |   0.006301 |      0.63%
   7 | south           |   0.006015 |      0.60%
   8 | edward          |   0.005820 |      0.58%
   9 | miles           |   0.005699 |      0.57%
  10 | west            |   0.005125 |      0.51%
  11 | henry           |   0.005119 |      0.51%
  12 | richard         |   0.004650 |      0.46%
  13 | north           |   0.004343 |      0.43%
  14 | esq             |   0.004187 |      0.42%
  15 | anno            |   0.003830 |      0.38%
  16 | bishop          |   0.003791 |      0.38%
  17 | towns           |   0.003519 |      0.35%
  18 | william         |   0.003358 |      0.34%
  19 | built           |   0.003294 |      0.33%
  20 | 72              |   0.003249 |      0.32%


############################################################
# TABLE 3: TOP 5 DOCS PER TOPIC & THEIR TOPIC'S BEST WORDS #
############################################################

######## Topic 0 ########
Documents: 44 (5.95%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      167 | Navigations_headed_xml/Parsed_texts/A21711_parsed_text.txt   |     6669 |   0.999725
   2 |      521 | Navigations_headed_xml/Parsed_texts/A21872_parsed_text.txt   |    11236 |   0.970175
