
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
  16 | citie           |   0.008347 |      0.83%
  17 | whyche          |   0.008052 |      0.81%
  18 | thousande       |   0.006854 |      0.69%
  19 | xxx             |   0.006645 |      0.66%
  20 | sussex          |   0.006511 |      0.65%

######## Topic 14 ########
Documents: 17 (2.30%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | acres           |   0.009839 |      0.98%
   2 | aforesaid       |   0.008036 |      0.80%
   3 | have            |   0.006854 |      0.69%
   4 | every           |   0.006288 |      0.63%
   5 | paid            |   0.005967 |      0.60%
   6 | upon            |   0.005866 |      0.59%
   7 | commissioners   |   0.005480 |      0.55%
   8 | heirs           |   0.005447 |      0.54%
   9 | province        |   0.005418 |      0.54%
  10 | shillings       |   0.005061 |      0.51%
  11 | goods           |   0.004987 |      0.50%
  12 | successors      |   0.004786 |      0.48%
  13 | pounds          |   0.004456 |      0.45%
  14 | said            |   0.004451 |      0.45%
  15 | deputy          |   0.004431 |      0.44%
  16 | shall           |   0.004298 |      0.43%
  17 | governour       |   0.004187 |      0.42%
  18 | laws            |   0.004110 |      0.41%
  19 | act             |   0.003909 |      0.39%
  20 | city            |   0.003876 |      0.39%

######## Topic 15 ########
Documents: 22 (2.98%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | turks           |   0.013951 |      1.40%
   2 | vizier          |   0.009841 |      0.98%
   3 | camp            |   0.008533 |      0.85%
   4 | vienna          |   0.008269 |      0.83%
   5 | army            |   0.008160 |      0.82%
   6 | hungary         |   0.007598 |      0.76%
   7 | visier          |   0.007198 |      0.72%
   8 | grand           |   0.007068 |      0.71%
   9 | turkish         |   0.006348 |      0.63%
  10 | upon            |   0.005975 |      0.60%
  11 | buda            |   0.005705 |      0.57%
  12 | siege           |   0.005127 |      0.51%
  13 | attack          |   0.004795 |      0.48%
  14 | poland          |   0.004761 |      0.48%
  15 | enemy           |   0.004747 |      0.47%
  16 | duke            |   0.004654 |      0.47%
  17 | city            |   0.004638 |      0.46%
  18 | troops          |   0.004540 |      0.45%
  19 | bassa           |   0.004292 |      0.43%
  20 | wounded         |   0.004183 |      0.42%

######## Topic 16 ########
Documents: 52 (7.04%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.009962 |      1.00%
   2 | us              |   0.009677 |      0.97%
   3 | indians         |   0.008937 |      0.89%
   4 | river           |   0.007391 |      0.74%
   5 | island          |   0.006610 |      0.66%
   6 | we              |   0.004927 |      0.49%
   7 | up              |   0.004911 |      0.49%
   8 | upon            |   0.004486 |      0.45%
   9 | having          |   0.004225 |      0.42%
  10 | fish            |   0.004104 |      0.41%
  11 | indian          |   0.003898 |      0.39%
  12 | unto            |   0.003476 |      0.35%
  13 | my              |   0.003323 |      0.33%
  14 | over            |   0.003090 |      0.31%
  15 | themselves      |   0.002935 |      0.29%
  16 | trees           |   0.002891 |      0.29%
  17 | leagues         |   0.002796 |      0.28%
  18 | divers          |   0.002726 |      0.27%
  19 | cape            |   0.002581 |      0.26%
  20 | whale           |   0.002533 |      0.25%

######## Topic 17 ########
Documents: 29 (3.92%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | city            |   0.005558 |      0.56%
   2 | chap            |   0.005000 |      0.50%
   3 | china           |   0.004753 |      0.48%
   4 | chineses        |   0.004653 |      0.47%
   5 | turks           |   0.004569 |      0.46%
   6 | moors           |   0.003950 |      0.39%
   7 | tartars         |   0.003850 |      0.39%
   8 | persia          |   0.003838 |      0.38%
   9 | mahomet         |   0.003709 |      0.37%
  10 | siam            |   0.003442 |      0.34%
  11 | chinese         |   0.003254 |      0.33%
  12 | ambassador      |   0.003162 |      0.32%
  13 | candia          |   0.003117 |      0.31%
  14 | emperor         |   0.003024 |      0.30%
  15 | gold            |   0.003018 |      0.30%
  16 | call            |   0.002970 |      0.30%
  17 | several         |   0.002897 |      0.29%
  18 | mountain        |   0.002864 |      0.29%
  19 | ethiopia        |   0.002859 |      0.29%
  20 | persian         |   0.002850 |      0.29%

######## Topic 18 ########
Documents: 23 (3.11%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | majesties       |   0.018440 |      1.84%
   2 | majesty         |   0.017118 |      1.71%
   3 | subjects        |   0.016196 |      1.62%
   4 | proclamation    |   0.009980 |      1.00%
   5 | britain         |   0.009661 |      0.97%
   6 | whatsoever      |   0.008346 |      0.83%
   7 | wales           |   0.007124 |      0.71%
   8 | treaty          |   0.007114 |      0.71%
   9 | states          |   0.006892 |      0.69%
  10 | charles         |   0.006519 |      0.65%
  11 | ii              |   0.005860 |      0.59%
  12 | ship            |   0.005842 |      0.58%
  13 | hereby          |   0.005776 |      0.58%
  14 | said            |   0.005732 |      0.57%
  15 | ships           |   0.005688 |      0.57%
  16 | henry           |   0.005369 |      0.54%
  17 | have            |   0.005276 |      0.53%
  18 | goods           |   0.005093 |      0.51%
  19 | bill            |   0.005053 |      0.51%
  20 | unto            |   0.005048 |      0.50%

######## Topic 19 ########
Documents: 12 (1.62%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | parliament      |   0.031418 |      3.14%
   2 | commons         |   0.017400 |      1.74%
   3 | kingdome        |   0.013955 |      1.40%
   4 | mr              |   0.009120 |      0.91%
   5 | have            |   0.008976 |      0.90%
   6 | rebels          |   0.008750 |      0.87%
   7 | majesties       |   0.008397 |      0.84%
   8 | majesty         |   0.008126 |      0.81%
   9 | message         |   0.007998 |      0.80%
  10 | assembled       |   0.007899 |      0.79%
  11 | petition        |   0.007821 |      0.78%
  12 | royall          |   0.007644 |      0.76%
  13 | ordinance       |   0.007547 |      0.75%
  14 | your            |   0.007406 |      0.74%
  15 | severall        |   0.007076 |      0.71%
  16 | ireland         |   0.006936 |      0.69%
  17 | lords           |   0.006559 |      0.66%
  18 | 2013            |   0.005935 |      0.59%
  19 | cler            |   0.005721 |      0.57%
  20 | neer            |   0.005608 |      0.56%

######## Topic 20 ########
Documents: 7 (0.95%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
