
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
   8 | prisoners       |   0.005651 |      0.57%
   9 | duke            |   0.005632 |      0.56%
  10 | assembled       |   0.005607 |      0.56%
  11 | guns            |   0.005564 |      0.56%
  12 | son             |   0.005325 |      0.53%
  13 | garrison        |   0.005308 |      0.53%
  14 | camp            |   0.005257 |      0.53%
  15 | fired           |   0.005213 |      0.52%
  16 | enemies         |   0.005191 |      0.52%
  17 | wounded         |   0.005114 |      0.51%
  18 | parliament      |   0.005100 |      0.51%
  19 | regiment        |   0.005055 |      0.51%
  20 | bridge          |   0.005047 |      0.50%

######## Topic 23 ########
Documents: 32 (4.33%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | have            |   0.016925 |      1.69%
   2 | upon            |   0.007123 |      0.71%
   3 | its             |   0.006475 |      0.65%
   4 | publick         |   0.005220 |      0.52%
   5 | government      |   0.005211 |      0.52%
   6 | unto            |   0.004183 |      0.42%
   7 | your            |   0.004177 |      0.42%
   8 | laws            |   0.004168 |      0.42%
   9 | themselves      |   0.004006 |      0.40%
  10 | ever            |   0.003714 |      0.37%
  11 | than            |   0.003485 |      0.35%
  12 | own             |   0.003370 |      0.34%
  13 | us              |   0.003353 |      0.34%
  14 | you             |   0.003295 |      0.33%
  15 | tho             |   0.003232 |      0.32%
  16 | majesty         |   0.003206 |      0.32%
  17 | even            |   0.003074 |      0.31%
  18 | service         |   0.003044 |      0.30%
  19 | new             |   0.002769 |      0.28%
  20 | only            |   0.002689 |      0.27%

######## Topic 24 ########
Documents: 9 (1.22%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | town            |   0.014308 |      1.43%
   2 | dublin          |   0.013112 |      1.31%
   3 | fleet           |   0.011955 |      1.20%
   4 | french          |   0.008784 |      0.88%
   5 | street          |   0.006618 |      0.66%
   6 | fortifications  |   0.005607 |      0.56%
   7 | morning         |   0.005553 |      0.56%
   8 | mr              |   0.005424 |      0.54%
   9 | st              |   0.005408 |      0.54%
  10 | up              |   0.005341 |      0.53%
  11 | boats           |   0.005318 |      0.53%
  12 | admiral         |   0.005317 |      0.53%
  13 | ireland         |   0.005317 |      0.53%
  14 | river           |   0.005250 |      0.53%
  15 | built           |   0.005174 |      0.52%
  16 | pag             |   0.004994 |      0.50%
  17 | near            |   0.004817 |      0.48%
  18 | several         |   0.004723 |      0.47%
  19 | dutch           |   0.004663 |      0.47%
  20 | guns            |   0.004641 |      0.46%

######## Topic 25 ########
Documents: 7 (0.95%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | 15              |   0.020738 |      2.07%
   2 | 18              |   0.020170 |      2.02%
   3 | 16              |   0.019141 |      1.91%
   4 | 17              |   0.018978 |      1.90%
   5 | 13              |   0.018966 |      1.90%
   6 | 19              |   0.018871 |      1.89%
   7 | 20              |   0.017762 |      1.78%
   8 | 14              |   0.017428 |      1.74%
   9 | 22              |   0.016265 |      1.63%
  10 | 21              |   0.016157 |      1.62%
  11 | 23              |   0.015283 |      1.53%
  12 | 51              |   0.014203 |      1.42%
  13 | 24              |   0.014117 |      1.41%
  14 | 52              |   0.013945 |      1.39%
  15 | 27              |   0.012883 |      1.29%
  16 | 28              |   0.012323 |      1.23%
  17 | 26              |   0.012308 |      1.23%
  18 | 53              |   0.011840 |      1.18%
  19 | 30              |   0.011742 |      1.17%
  20 | 32              |   0.011646 |      1.16%

######## Topic 26 ########
Documents: 23 (3.11%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | majesties       |   0.019734 |      1.97%
   2 | subjects        |   0.016743 |      1.67%
   3 | britain         |   0.011445 |      1.14%
   4 | majesty         |   0.010617 |      1.06%
   5 | admiral         |   0.009288 |      0.93%
   6 | ships           |   0.009137 |      0.91%
   7 | ship            |   0.008711 |      0.87%
   8 | visier          |   0.008530 |      0.85%
   9 | whatsoever      |   0.008452 |      0.85%
  10 | vienna          |   0.007730 |      0.77%
  11 | turks           |   0.007583 |      0.76%
  12 | states          |   0.007483 |      0.75%
  13 | 2013            |   0.007205 |      0.72%
  14 | 2014            |   0.007041 |      0.70%
  15 | charles         |   0.006748 |      0.67%
  16 | articles        |   0.006115 |      0.61%
  17 | proclamation    |   0.006066 |      0.61%
  18 | ii              |   0.005832 |      0.58%
