
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | hee             |   0.013101 |      1.31%
   2 | haue            |   0.011509 |      1.15%
   3 | vpon            |   0.010753 |      1.08%
   4 | vnto            |   0.009084 |      0.91%
   5 | towne           |   0.008276 |      0.83%
   6 | turkes          |   0.006822 |      0.68%
   7 | hauing          |   0.006227 |      0.62%
   8 | vp              |   0.005644 |      0.56%
   9 | himselfe        |   0.005644 |      0.56%
  10 | ouer            |   0.005299 |      0.53%
  11 | themselues      |   0.004999 |      0.50%
  12 | spaine          |   0.004812 |      0.48%
  13 | bohemia         |   0.004794 |      0.48%
  14 | turke           |   0.004658 |      0.47%
  15 | armie           |   0.004653 |      0.47%
  16 | beene           |   0.004636 |      0.46%
  17 | duke            |   0.004318 |      0.43%
  18 | owne            |   0.004269 |      0.43%
  19 | earle           |   0.004112 |      0.41%
  20 | diuers          |   0.003877 |      0.39%

######## Topic 12 ########
Documents: 28 (3.79%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | 00              |   0.015568 |      1.56%
   2 | india           |   0.012368 |      1.24%
   3 | trade           |   0.012249 |      1.22%
   4 | have            |   0.012040 |      1.20%
   5 | stock           |   0.011007 |      1.10%
   6 | indians         |   0.009783 |      0.98%
   7 | company         |   0.008352 |      0.84%
   8 | plantations     |   0.007319 |      0.73%
   9 | acres           |   0.007245 |      0.72%
  10 | colony          |   0.007130 |      0.71%
  11 | america         |   0.006871 |      0.69%
  12 | scots           |   0.006520 |      0.65%
  13 | indies          |   0.006113 |      0.61%
  14 | east            |   0.005820 |      0.58%
  15 | darien          |   0.005712 |      0.57%
  16 | virginia        |   0.005592 |      0.56%
  17 | parliament      |   0.005323 |      0.53%
  18 | indian          |   0.005157 |      0.52%
  19 | upon            |   0.004764 |      0.48%
  20 | province        |   0.004763 |      0.48%

######## Topic 13 ########
Documents: 36 (4.87%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | island          |   0.008249 |      0.82%
   2 | have            |   0.008134 |      0.81%
   3 | fish            |   0.006533 |      0.65%
   4 | its             |   0.005286 |      0.53%
   5 | river           |   0.004771 |      0.48%
   6 | rivers          |   0.004637 |      0.46%
   7 | water           |   0.004284 |      0.43%
   8 | description     |   0.003991 |      0.40%
   9 | towns           |   0.003757 |      0.38%
  10 | trees           |   0.003724 |      0.37%
  11 | air             |   0.003630 |      0.36%
  12 | woods           |   0.003317 |      0.33%
  13 | tree            |   0.003178 |      0.32%
  14 | sea             |   0.003168 |      0.32%
  15 | islands         |   0.002939 |      0.29%
  16 | waters          |   0.002923 |      0.29%
  17 | cold            |   0.002915 |      0.29%
  18 | sorts           |   0.002827 |      0.28%
  19 | drink           |   0.002744 |      0.27%
  20 | whale           |   0.002685 |      0.27%

######## Topic 14 ########
Documents: 76 (10.28%)  |  Average row value: 0.000200
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | haue            |   0.008261 |      0.83%
   2 | riuer           |   0.008030 |      0.80%
   3 | hee             |   0.006701 |      0.67%
   4 | vs              |   0.006594 |      0.66%
   5 | iland           |   0.006264 |      0.63%
   6 | wee             |   0.006159 |      0.62%
   7 | vnto            |   0.004273 |      0.43%
   8 | towne           |   0.004236 |      0.42%
   9 | foure           |   0.004054 |      0.41%
  10 | vpon            |   0.003885 |      0.39%
  11 | doe             |   0.003698 |      0.37%
  12 | neere           |   0.003591 |      0.36%
  13 | verie           |   0.003523 |      0.35%
  14 | citie           |   0.003435 |      0.34%
  15 | ilands          |   0.003397 |      0.34%
  16 | yeere           |   0.003362 |      0.34%
