
############################################################
#              TABLE 1: DOC COUNT PER TOPIC             #
############################################################

     Topic  |       Count  |     Percent
----------------------------------------
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      120 | Navigations_headed_xml/Parsed_texts/A21083_parsed_text.txt   |    11034 |   0.927776
   2 |      366 | Navigations_headed_xml/Parsed_texts/A07254_parsed_text.txt   |    38881 |   0.916997
   3 |      108 | Navigations_headed_xml/Parsed_texts/A11332_parsed_text.txt   |     8045 |   0.904860
   4 |      236 | Navigations_headed_xml/Parsed_texts/A08155_parsed_text.txt   |    27846 |   0.899076
   5 |       22 | Navigations_headed_xml/Parsed_texts/A08153_parsed_text.txt   |    12948 |   0.896699

Rank | Word            |      Value
-----------------------------------
   1 | haue            |   0.015187
   2 | vpon            |   0.010275
   3 | vnto            |   0.009992
   4 | vs              |   0.009263
   5 | hee             |   0.009015

######## Topic 2 ########
Documents: 217 (29.36%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |        5 | Navigations_headed_xml/Parsed_texts/A48578_parsed_text.txt   |   550827 |   0.826155
   2 |      558 | Navigations_headed_xml/Parsed_texts/A55601_parsed_text.txt   |    82215 |   0.778595
   3 |       21 | Navigations_headed_xml/Parsed_texts/A53044_parsed_text.txt   |   233381 |   0.775120
   4 |      355 | Navigations_headed_xml/Parsed_texts/A48041_parsed_text.txt   |     7646 |   0.772230
   5 |      560 | Navigations_headed_xml/Parsed_texts/A45662_parsed_text.txt   |   132783 |   0.765048

Rank | Word            |      Value
-----------------------------------
   1 | have            |   0.010511
   2 | upon            |   0.005090
   3 | than            |   0.004144
   4 | us              |   0.003861
   5 | its             |   0.003779

######## Topic 3 ########
Documents: 50 (6.77%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      541 | Navigations_headed_xml/Parsed_texts/A53241_parsed_text.txt   |   114777 |   0.943654
   2 |      731 | Navigations_headed_xml/Parsed_texts/A25991_parsed_text.txt   |     5788 |   0.866449
   3 |       84 | Navigations_headed_xml/Parsed_texts/A34374_parsed_text.txt   |    12749 |   0.836239
   4 |      728 | Navigations_headed_xml/Parsed_texts/A53149_parsed_text.txt   |    16937 |   0.813947
   5 |      717 | Navigations_headed_xml/Parsed_texts/A41415_parsed_text.txt   |     8060 |   0.736370

Rank | Word            |      Value
-----------------------------------
   1 | st              |   0.005883
   2 | bridg           |   0.004778
   3 | us              |   0.004767
   4 | up              |   0.004563
   5 | 52              |   0.003800

######## Topic 4 ########
Documents: 81 (10.96%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
   1 |      264 | Navigations_headed_xml/Parsed_texts/A46602_parsed_text.txt   |    19749 |   0.991599
   2 |      192 | Navigations_headed_xml/Parsed_texts/A32673_parsed_text.txt   |    26909 |   0.987631
   3 |      314 | Navigations_headed_xml/Parsed_texts/A32172_parsed_text.txt   |    21958 |   0.985624
   4 |      325 | Navigations_headed_xml/Parsed_texts/A32650_parsed_text.txt   |     5092 |   0.980038
   5 |        6 | Navigations_headed_xml/Parsed_texts/A32165_parsed_text.txt   |    40593 |   0.976248

Rank | Word            |      Value
-----------------------------------
   1 | majesty         |   0.007620
   2 | have            |   0.007349
   3 | majesties       |   0.006310
   4 | subjects        |   0.005712
   5 | upon            |   0.004894

######## Topic 5 ########
Documents: 37 (5.01%)
Rank |    DocID | Filename                                                     |   Length |       P_dz
------------------------------------------------------------------------------------------------------
