######## Topic 0 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
  35 | cold            |   0.000670 |      0.07%
  36 | mine            |   0.000669 |      0.07%
  37 | next            |   0.000665 |      0.07%
  38 | times           |   0.000662 |      0.07%
  39 | true            |   0.000661 |      0.07%
  40 | call            |   0.000628 |      0.06%
  41 | body            |   0.000619 |      0.06%
  42 | age             |   0.000615 |      0.06%
  43 | bodies          |   0.000612 |      0.06%
  44 | lesse           |   0.000604 |      0.06%
  45 | thee            |   0.000597 |      0.06%
  46 | home            |   0.000581 |      0.06%
  47 | fit             |   0.000580 |      0.06%
  48 | hard            |   0.000576 |      0.06%
  49 | tell            |   0.000573 |      0.06%
  50 | art             |   0.000560 |      0.06%

Excluded Words:
as, but, is, so, or, not, be, are, you, then


######## Topic 8 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | us              |   0.005222 |      0.52%
   2 | themselves      |   0.001644 |      0.16%
   3 | take            |   0.001617 |      0.16%
   4 | em              |   0.001476 |      0.15%
   5 | give            |   0.001329 |      0.13%
   6 | never           |   0.001262 |      0.13%
   7 | go              |   0.001255 |      0.13%
   8 | put             |   0.001198 |      0.12%
   9 | days            |   0.001125 |      0.11%
  10 | down            |   0.001106 |      0.11%
  11 | thing           |   0.001016 |      0.10%
  12 | took            |   0.000810 |      0.08%
  13 | sometimes       |   0.000803 |      0.08%
  14 | certain         |   0.000781 |      0.08%
  15 | kind            |   0.000777 |      0.08%
  16 | again           |   0.000776 |      0.08%
  17 | less            |   0.000770 |      0.08%
  18 | told            |   0.000761 |      0.08%
  19 | himself         |   0.000755 |      0.08%
  20 | while           |   0.000751 |      0.08%
  21 | always          |   0.000748 |      0.07%
  22 | reason          |   0.000729 |      0.07%
  23 | find            |   0.000717 |      0.07%
  24 | even            |   0.000713 |      0.07%
  25 | account         |   0.000707 |      0.07%
  26 | enough          |   0.000694 |      0.07%
  27 | order           |   0.000693 |      0.07%
  28 | nothing         |   0.000688 |      0.07%
  29 | selves          |   0.000679 |      0.07%
  30 | half            |   0.000675 |      0.07%
  31 | manner          |   0.000668 |      0.07%
  32 | away            |   0.000658 |      0.07%
  33 | ing             |   0.000656 |      0.07%
  34 | return          |   0.000653 |      0.07%
  35 | think           |   0.000645 |      0.06%
  36 | ever            |   0.000636 |      0.06%
  37 | sort            |   0.000634 |      0.06%
  38 | together        |   0.000608 |      0.06%
  39 | horse           |   0.000607 |      0.06%
  40 | far             |   0.000594 |      0.06%
  41 | soon            |   0.000587 |      0.06%
  42 | done            |   0.000579 |      0.06%
  43 | taken           |   0.000571 |      0.06%
  44 | brought         |   0.000570 |      0.06%
  45 | look            |   0.000562 |      0.06%
  46 | keep            |   0.000562 |      0.06%
  47 | head            |   0.000557 |      0.06%
  48 | get             |   0.000547 |      0.05%
  49 | back            |   0.000542 |      0.05%
  50 | occasion        |   0.000532 |      0.05%

Excluded Words:
we, as, is, are, have, them, be, but, not, so


######## Topic 9 ########
Average row value: 0.000010
Rank | Word            |      Value | Pct of Row
------------------------------------------------
   1 | province        |   0.001293 |      0.13%
   2 | china           |   0.001277 |      0.13%
   3 | emperor         |   0.001216 |      0.12%
   4 | five            |   0.001026 |      0.10%
   5 | chineses        |   0.000937 |      0.09%
   6 | according       |   0.000873 |      0.09%
   7 | mountain        |   0.000871 |      0.09%
   8 | twenty          |   0.000837 |      0.08%
   9 | ambassador      |   0.000823 |      0.08%
  10 | tartars         |   0.000783 |      0.08%
  11 | persia          |   0.000769 |      0.08%
